Pricing Opt,1,1,0.5,0.4,-0,-0,,89260.4,14549.7,0,74710.7,31430,15782,15648,62.8615,415.708,817.142,,2.29347,232510,123376,31431,76561,0.875316,7.26426,7.66187,5.26635,6.29226,0.0245545,0.0158985,4.9416
Pricing Opt,1,1,0.5,0.6,-0,-0,,96597.7,14919.8,0,81678,36510,9012,27497,73.0212,426.28,846.683,,2.28904,232224,123375,36512,72404,0.882808,7.43547,7.74961,5.25406,6.27057,0.168259,0.117886,5.3769
Pricing Opt,1,1,1.25,0.6,-0,-0,,128845,22516.1,0,106329,59238,17040,42197,47.3907,257.328,548.094,,2.2967,232528,123393,59239,53314,0.912157,6.8392,7.30643,5.39865,6.45411,0.00152228,0.00125862,4.32816
Pricing Opt,1.2,4,0.75,0.6,-0,-0,,100435,16597,0,83837.5,39603,9855,29747,52.8047,316.134,745.382,,3.28944,233674,123376,39604,67790,0.870469,7.39172,7.77043,5.23574,6.31336,0.380809,0.13467,6.26499
Pricing Opt,1.2,4,0.75,0.8,-0,-0,,103006,15611.2,0,87394.8,35014,13213,21800,46.6858,297.357,697.786,,3.49028,235831,123378,35015,71236,0.861186,7.33078,7.78037,5.2299,6.30658,0.247851,0.0740112,5.6389
Pricing Opt,1.2,4,1,0.4,-0,-0,,95715,17683.5,0,78031.5,41341,13109,28231,41.341,252.622,634.165,,3.74024,238273,123362,41341,65622,0.867074,7.33825,7.74517,5.24088,6.30935,0.275253,0.0712856,6.07534
Pricing Opt,1.2,4,1,0.6,-0,-0,,104985,18376.3,0,86608.3,42496,14174,28321,42.4963,262.519,676.921,,3.93377,240924,123366,42496,64317,0.865831,7.11636,7.74965,5.25424,6.32175,0.408305,0.114144,6.09334
Pricing Opt,1.2,4,1,0.8,-0,-0,,109889,17838.7,0,92049.9,41046,13062,27984,41.0467,254.839,660.629,,4.27162,243582,123383,41047,64860,0.858363,7.2771,7.4869,5.2824,6.36644,0.269306,0.048144,5.5655
Pricing Opt,1.2,4,1.25,0.4,-0,-0,,88966.1,15301.2,0,73664.9,32978,16525,16453,26.383,174.871,436.176,,3.85603,239432,123373,32979,72438,0.854462,7.37999,7.8859,5.21506,6.2892,0.0966762,0.0161589,5.03602
Pricing Opt,1.2,4,1.25,0.6,-0,-0,,100244,16576.7,0,83667.6,36485,14805,21680,29.1887,189.448,471.611,,4.04966,241044,123371,36487,69208,0.856728,7.32813,7.98159,5.17809,6.26099,0.0875304,0.00606348,4.74884
Pricing Opt,1.2,4,1.25,0.8,-0,-0,,108687,16561.9,0,92124.7,40375,8023,32351,32.3005,189.279,461.8,,3.62363,235753,123365,40377,66668,0.867711,7.91663,7.52108,5.2516,6.33484,0.0538016,0.00776082,5.41618
Pricing Opt,1,1,1.25,0.8,-0,-0,,138818,21858.2,0,116959,56905,19315,37589,45.5246,249.809,537.131,,2.29832,232632,123383,56907,55168,0.908355,6.80341,7.13928,5.47353,6.52528,0.00391172,0.00305198,4.38852
